id.orig_h,window_start,window_end,attack_phase_nunique,is_attack_count,is_attack_ratio,is_attack_any,is_attack_majority,is_attack
172.18.0.1,1767522399.434642,1767522414.434642,2,7,1.0,1,1,1
172.18.0.1,1767523079.434642,1767523094.434642,1,2,1.0,1,1,1
172.18.0.1,1767523084.434642,1767523099.434642,3,7,1.0,1,1,1
172.18.0.1,1767523089.434642,1767523104.434642,3,7,1.0,1,1,1
172.18.0.1,1767523094.434642,1767523109.434642,2,5,1.0,1,1,1
172.18.0.1,1767523974.434642,1767523989.434642,2,5,1.0,1,1,1
172.18.0.1,1767523979.434642,1767523994.434642,2,7,1.0,1,1,1
172.18.0.1,1767523984.434642,1767523999.434642,2,7,1.0,1,1,1
172.18.0.1,1767523989.434642,1767524004.434642,1,2,1.0,1,1,1
172.18.0.1,1767525189.434642,1767525204.434642,2,7,1.0,1,1,1
172.18.0.1,1767525194.434642,1767525209.434642,2,7,1.0,1,1,1
172.18.0.1,1767525199.434642,1767525214.434642,2,7,1.0,1,1,1
172.18.0.1,1767525759.434642,1767525774.434642,3,7,1.0,1,1,1
172.18.0.1,1767525764.434642,1767525779.434642,3,7,1.0,1,1,1
172.18.0.1,1767525769.434642,1767525784.434642,3,7,1.0,1,1,1
172.18.0.1,1767527139.434642,1767527154.434642,2,7,1.0,1,1,1
172.18.0.1,1767527144.434642,1767527159.434642,2,7,1.0,1,1,1
172.18.0.1,1767527149.434642,1767527164.434642,2,7,1.0,1,1,1
172.18.0.1,1767527919.434642,1767527934.434642,2,14,1.0,1,1,1
172.18.0.1,1767527924.434642,1767527939.434642,2,14,1.0,1,1,1
172.18.0.1,1767527929.434642,1767527944.434642,2,14,1.0,1,1,1
172.18.0.1,1767529479.434642,1767529494.434642,2,7,1.0,1,1,1
172.18.0.1,1767529484.434642,1767529499.434642,2,7,1.0,1,1,1
172.18.0.1,1767529489.434642,1767529504.434642,2,7,1.0,1,1,1
172.18.0.1,1767530394.434642,1767530409.434642,1,4,1.0,1,1,1
172.18.0.1,1767530399.434642,1767530414.434642,2,7,1.0,1,1,1
172.18.0.1,1767530404.434642,1767530419.434642,2,7,1.0,1,1,1
172.18.0.1,1767530409.434642,1767530424.434642,1,3,1.0,1,1,1
172.18.0.1,1767531359.434642,1767531374.434642,2,14,1.0,1,1,1
172.18.0.1,1767531364.434642,1767531379.434642,2,14,1.0,1,1,1
172.18.0.1,1767531369.434642,1767531384.434642,2,14,1.0,1,1,1
172.18.0.1,1767533379.434642,1767533394.434642,1,2,1.0,1,1,1
172.18.0.1,1767533384.434642,1767533399.434642,2,7,1.0,1,1,1
172.18.0.1,1767533389.434642,1767533404.434642,2,7,1.0,1,1,1
172.18.0.1,1767533394.434642,1767533409.434642,2,5,1.0,1,1,1
172.18.0.1,1767533764.434642,1767533779.434642,3,14,1.0,1,1,1
172.18.0.1,1767533769.434642,1767533784.434642,3,14,1.0,1,1,1
172.18.0.1,1767533774.434642,1767533789.434642,3,14,1.0,1,1,1
172.18.0.1,1767536274.434642,1767536289.434642,2,7,1.0,1,1,1
172.18.0.1,1767536279.434642,1767536294.434642,2,7,1.0,1,1,1
172.18.0.1,1767536284.434642,1767536299.434642,2,7,1.0,1,1,1
172.18.0.1,1767537199.434642,1767537214.434642,2,7,1.0,1,1,1
172.18.0.1,1767537204.434642,1767537219.434642,2,7,1.0,1,1,1
172.18.0.1,1767537209.434642,1767537224.434642,2,7,1.0,1,1,1
172.18.0.1,1767537944.434642,1767537959.434642,2,5,1.0,1,1,1
172.18.0.1,1767537949.434642,1767537964.434642,2,7,1.0,1,1,1
172.18.0.1,1767537954.434642,1767537969.434642,2,7,1.0,1,1,1
172.18.0.1,1767537959.434642,1767537974.434642,1,2,1.0,1,1,1
172.18.0.1,1767539154.434642,1767539169.434642,2,7,1.0,1,1,1
172.18.0.1,1767539159.434642,1767539174.434642,2,7,1.0,1,1,1
172.18.0.1,1767539164.434642,1767539179.434642,2,7,1.0,1,1,1
172.18.0.1,1767539709.434642,1767539724.434642,2,7,1.0,1,1,1
172.18.0.1,1767539714.434642,1767539729.434642,2,7,1.0,1,1,1
172.18.0.1,1767539719.434642,1767539734.434642,2,7,1.0,1,1,1
