ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,orig_bytes,resp_bytes,bytes_ratio,duration,duration_zscore,conn_state_encoded,conn_interval,time_since_last_conn,conn_count_10s,conn_count_60s,conn_count_300s,interval_stddev,burst_score,total_conn_from_ip,hour_of_day,ja3,ja3_frequency,ja3_is_known,ja3_behavior_score,unique_ja3_from_ip,is_known_ip,ip_first_seen_hours_ago,recon_pattern_score,recent_activity_score,recent_docker_event,time_since_container_start,is_attack,attack_phase
1767522018.418963,172.18.0.6,38616,172.18.0.2,8501,798.0,1741.0,0.3142969673099645,0.040549,2.139993862013674,3,0.0,,1,1,1,2829.592090322948,0.0,1,11,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.0,0.2,0.1428571428571428,1,0.4189629554748535,0,normal
1767522019.959151,172.18.0.6,38618,172.18.0.2,8501,1080.0,1741.0,0.3828429634881248,0.016453,0.2511282731851402,3,1.5401880741119385,1.5401880741119385,2,2,2,2829.592090322948,1.0,2,11,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.0004278300205866,0.7,0.2857142857142857,1,1.959151029586792,0,normal
1767522025.027992,172.18.0.12,56883,172.18.0.2,8501,791.7,1749.9,0.4524218295814443,0.029891,0.1677594020659001,3,0.0,,1,1,1,2260.691807634761,0.0,1,10,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.0005204678517553145,0.2528033131912094,0.29694398914914416,1,2.9970986854359216,0,normal
1767522047.8729205,172.18.0.12,44716,172.18.0.2,8501,1089.9,1748.8,0.6232240846501762,0.01915,-0.3649165625486704,3,22.8449285030365,22.8449285030365,1,2,2,2392.4843613259873,0.0,2,10,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.0006528525604175369,0.1282336582313984,0.3758539207932097,0,3.6034714303678372,0,normal
1767522062.8033175,172.18.0.8,62835,172.18.0.2,8501,794.0,1734.5,0.4577834459244628,0.04943,1.1367609731378794,3,0.0,,1,1,1,2454.7073440232925,0.0,1,10,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.0005448482884897923,0.10564296550920758,0.293491880808164,1,1.9116831593437207,0,normal
1767522084.1813068,172.18.0.10,41047,172.18.0.2,8501,808.4,1738.7,0.464946349688343,0.017861,-0.4288683395533186,3,0.0,,1,1,1,2068.996731511997,0.0,1,10,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.0004340530663847022,0.21043069751611895,0.15068567314368495,0,2.5803345971029965,0,normal
1767522108.255378,172.18.0.11,63695,172.18.0.2,8501,806.5,1740.1,0.4634770795450318,0.022991,-0.1744412502439908,3,0.0,,1,1,1,1824.7882446702247,0.0,1,10,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.0005587939492309842,0.12432688789075581,0.11161252816036765,1,6.747290584060561,0,normal
1767522116.99618,172.18.0.12,38989,172.18.0.2,8501,808.7,1747.2,0.462891216508202,0.026688,0.0089243763647638,3,69.12325954437256,69.12325954437256,1,1,3,3449.8402361648023,0.0,3,10,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.00081721666418844,0.23249367305427057,0.33045720312084115,0,3.455158321997272,0,normal
1767522136.1279664,172.18.0.12,60555,172.18.0.2,8501,804.3,1740.7,0.4620751186847821,0.023159,-0.1661048273391895,3,19.131786346435547,19.131786346435547,1,2,4,1738.4120021518154,0.0,4,10,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,8.431320996742132e-05,0.293062773852591,0.11043550603530838,1,6.407831857430505,0,normal
1767522139.139835,172.18.0.6,36017,172.18.0.2,8501,1094.0,1737.3,0.6297216973756296,0.053826,1.3547918949684217,3,119.18068385124207,119.18068385124207,1,1,3,1928.8240695622328,0.0,3,10,304734bb1c086c3453b387400cf83f11,68,0,0.5,1,1,0.0005476236056927479,0.11607916703131121,0.12705700929128003,0,5.598102677802693,0,normal
